0.1, 9, 88.24, 0.75, 0.25, 0.1, 0.9, 0.88, 3, 0.11, 
0.1, 9, 88.24, 0.75, 0.25, 0.1, 0.9, 0.88, 3, 0.11, 
0.2, 11, 74.07, 0.57, 0.43, 0.2, 0.8, 0.74, 1.33, 0.25, 
0.3, 13, 59.32, 0.44, 0.56, 0.3, 0.7, 0.59, 0.79, 0.43, 
0.4, 13, 45.45, 0.33, 0.67, 0.4, 0.6, 0.45, 0.49, 0.67, 
0.5, 12, 33.33, 0.25, 0.75, 0.5, 0.5, 0.33, 0.33, 1, 
0.6, 11, 23.26, 0.18, 0.82, 0.6, 0.4, 0.23, 0.22, 1.5, 
0.7, 10, 15.15, 0.12, 0.88, 0.7, 0.3, 0.15, 0.14, 2.33, 
0.8, 8, 8.77, 0.08, 0.92, 0.8, 0.2, 0.09, 0.09, 4, 
0.9, 6, 3.82, 0.04, 0.96, 0.9, 0.1, 0.04, 0.04, 9, 
0.9, 6, 3.82, 0.04, 0.96, 0.9, 0.1, 0.04, 0.04, 9, 
0.1, 9, 88.24, 0.75, 0.25, 0.1, 0.9, 0.88, 3, 0.11, 
0.2, 11, 74.07, 0.57, 0.43, 0.2, 0.8, 0.74, 1.33, 0.25, 
0.3, 13, 59.32, 0.44, 0.56, 0.3, 0.7, 0.59, 0.79, 0.43, 
0.4, 13, 45.45, 0.33, 0.67, 0.4, 0.6, 0.45, 0.49, 0.67, 
0.5, 12, 33.33, 0.25, 0.75, 0.5, 0.5, 0.33, 0.33, 1, 
0.6, 11, 23.26, 0.18, 0.82, 0.6, 0.4, 0.23, 0.22, 1.5, 
0.7, 10, 15.15, 0.12, 0.88, 0.7, 0.3, 0.15, 0.14, 2.33, 
0.8, 8, 8.77, 0.08, 0.92, 0.8, 0.2, 0.09, 0.09, 4, 
0.9, 6, 3.82, 0.04, 0.96, 0.9, 0.1, 0.04, 0.04, 9, 
0.9, 6, 3.82, 0.04, 0.96, 0.9, 0.1, 0.04, 0.04, 9, 
0.1, 9, 88.24, 0.75, 0.25, 0.1, 0.9, 0.88, 3, 0.11, 
0.2, 11, 74.07, 0.57, 0.43, 0.2, 0.8, 0.74, 1.33, 0.25, 
0.3, 13, 59.32, 0.44, 0.56, 0.3, 0.7, 0.59, 0.79, 0.43, 
0.4, 13, 45.45, 0.33, 0.67, 0.4, 0.6, 0.45, 0.49, 0.67, 
0.5, 12, 33.33, 0.25, 0.75, 0.5, 0.5, 0.33, 0.33, 1, 
0.6, 11, 23.26, 0.18, 0.82, 0.6, 0.4, 0.23, 0.22, 1.5, 
0.7, 10, 15.15, 0.12, 0.88, 0.7, 0.3, 0.15, 0.14, 2.33, 
0.8, 8, 8.77, 0.08, 0.92, 0.8, 0.2, 0.09, 0.09, 4, 
0.9, 6, 3.82, 0.04, 0.96, 0.9, 0.1, 0.04, 0.04, 9, 
0.5, 7, 3.82, 0.04, 0.96, 0.9, 0.1, 0.04, 0.04, 9, 
0.5, 12, 33.33, 0.25, 0.75, 0.5, 0.5, 0.33, 0.33, 1, 
0.5, 12, 33.33, 0.25, 0.75, 0.5, 0.5, 0.33, 0.33, 1, 
0.5, 12, 33.33, 0.25, 0.75, 0.5, 0.5, 0.33, 0.33, 1, 
